block,block2,block3,project,country,reef.year,size,area,rich_mean,D_mean,SP,fish.biomass,Productivity,rich_sd,D_sd,Productivity_sd,plant.production,prod.sum.prod_yr2_mean_mean,prod.area,plant.rich,plant.div,Lmax_mean,skew_mean,trop.level_mean,D.ffg_mean,Lmax_sd,skew_sd,trop.level_sd,D.ffg_sd,biomass.tot_mean,biomass.area,n_mean,n.area,p_mean,p.area,p.area.biomass,biomass.tot_mean_sd,n_mean_sd,p_mean_sd,n.biomass,p.biomass,turnover,n.biomass_sd,p.biomass_sd,turnover_sd,prod.sum.prod_yr2_mean_sd,seagrass.n,seagrass.p,sed.n,sed.p
YoMama,YoMama13,YoMama,YoMama,Bahamas,4a/13,30,7.84,5,0.50530434,32.13230075,14.36063357,273.6005816,0,0.105468253,41.32078454,0.896003236,374.5439479,47.77346274,6,0.325791588,8.770655271,0.035163632,3.195951503,0.25930796,0.219585867,0.572434408,0.097768497,0.168843332,112.5873672,14.36063357,0.12607693,0.016081241,0.008259229,0.001053473,7.33584E-05,44.60689321,0.029556739,0.001548854,0.001158756,7.6649084885805e-05,2.715990888,0.000196574,1.6611311553724e-05,1.443081084,121.808949,1.490376,0.08433909,NA,NA
YoMama,YoMama19,YoMama,YoMama,Bahamas,4a/19,30,7.84,7.5,0.657431045,59.87481757,33.51901842,487.1091011,3.535533906,0.003250434,45.42048203,0.781033061,608.8229546,77.65598911,6,0.141460906,8.222394541,1.38544513,3.526737665,0.31395353,1.647137694,1.323669687,0.266850789,0.091667318,262.7891044,33.51901842,0.23643424,0.030157429,0.016928203,0.00215921,6.44175E-05,123.3071162,0.099440011,0.005757973,0.001110769,6.66096310510614e-05,2.128477996,0.000899602,9.34387627625328e-06,1.171574317,94.97020979,1.50812,0.07570313,0.04,0.008994411
YoMama,YoMama13,YoMama,YoMama,Bahamas,4b/13,30,7.84,9,0.755930362,551.0063423,432.1738896,4497.937831,2.828427125,0.025923047,2495.428647,1.275951197,5253.952703,670.1470284,5,0.52285377,12.85153846,1.061046331,3.525173858,0.160282049,0.808277442,2.009800927,0.07221487,0.064887016,3388.243295,432.1738897,1.438745596,0.183513469,0.096327556,0.012286678,2.84299E-05,2632.367036,0.882483706,0.075671235,0.000463265,2.82931259996267e-05,1.49156559,9.94616398416998e-05,3.52200949415019e-07,0.422318977,3477.53535,1.395333,0.0848025,NA,NA
YoMama,YoMama19,YoMama,YoMama,Bahamas,4b/19,30,7.84,7,0.678502508,739.9402125,1125.242051,5880.500105,2.828427125,0.064411679,1837.201112,2.121247448,5490.701184,700.3445388,4,0.359443086,17.55469871,0.93402945,3.425359984,0.106191554,0.181341946,0.704227888,0.097608828,0.082874094,8821.897675,1125.24205,2.463369638,0.314205311,0.153240139,0.019545936,1.73704E-05,4542.76777,1.189400113,0.080765909,0.000281895,1.73079773893988e-05,0.706649999,1.03357798206037e-05,2.4255408883549e-07,0.155629297,1683.487973,1.585602,0.07135052,0.04,0.008960232
YoMama2,YoMama213,YoMama,YoMama,Bahamas,4c/13,30,7.84,5,0.540681469,104.6188322,56.35466527,713.2012516,1.414213562,0.03789043,377.6978235,2.483223081,677.3381515,86.39517239,8,0.580424834,11.45175439,1.789503068,4.121538469,0.484453095,0.303931861,0.698936441,0.07934896,0.041628499,441.8205758,56.35466528,0.168016099,0.021430625,0.025687289,0.00327644,5.81396E-05,241.1087318,0.115217847,0.01397083,0.000363209,5.8173847252476e-05,1.622583109,6.25711719604164e-05,1.25373730285172e-07,0.030603219,415.5585358,1.450667,0.08889224,NA,NA
YoMama2,YoMama219,YoMama,YoMama,Bahamas,4c/19,30,7.84,6.5,0.543358901,113.4898587,68.98944829,471.0673533,2.121320344,0.034708101,34.5339139,3.896482368,747.2152326,95.30806538,2,0.345679012,10.16538462,1.297872726,3.663217552,0.163238367,1.887431177,0.090270345,0.041000308,0.082448785,540.8772746,68.98944829,0.265782218,0.033900793,0.025974484,0.003313072,4.80229E-05,103.6016084,0.157929923,0.009091567,0.000472087,4.72803914397818e-05,0.880978307,0.000201564,7.75266982834882e-06,0.104897836,400.4612867,1.460069,0.07345162,0.04666667,0.010215252
YoMama2,YoMama213,YoMama,YoMama,Bahamas,4d/13,30,7.84,11,0.803525654,473.9871945,356.6151194,3601.475116,1.414213562,0.029666208,2429.567957,1.501397231,4335.844494,553.0413895,3,0.17818261,12.36811506,0.714752452,3.457016673,0.289659958,0.372594214,1.522025331,0.077078207,0.012015898,2795.862536,356.6151194,1.199974963,0.153058031,0.079458871,0.01013506,2.84202E-05,1192.359573,0.614787044,0.019995216,0.000420553,2.95856645250331e-05,1.213170032,4.05377246586436e-05,5.46576721811832e-06,0.351602786,2277.429916,1.560667,0.07135528,NA,NA
YoMama2,YoMama219,YoMama,YoMama,Bahamas,4d/19,30,7.84,11.5,0.836450801,199.6271148,238.3190638,880.4829466,2.121320344,0.004798355,476.0453886,3.024114632,1028.927186,131.2407125,2,0.345679012,10.98660714,1.964064941,3.532251072,0.326094719,1.52154227,0.150989732,0.004282889,0.066182145,1868.42146,238.3190638,0.700680573,0.089372522,0.052984624,0.006758243,2.8358E-05,384.5179374,0.245418599,0.012286639,0.000369317,2.82801763246938e-05,0.454655143,5.53466619770334e-05,7.55934162957958e-07,0.16121755,467.5347083,1.51722,0.06726857,0.05,0.011494308
Haiti,Haiti,Haiti,Globals,Haiti,H1/18,88,12,17,0.782635042,560.9260621,333.4259121,6928.908883,NA,NA,NA,1.233616498,9454.756428,787.896369,7,0.605662233,9.519736842,1.979181441,3.448831538,0.247489612,NA,NA,NA,NA,4001.110946,333.4259122,2.012937488,0.167744791,0.236649773,0.019720814,5.9146E-05,NA,NA,NA,0.000503095,5.91460161399407e-05,1.731746252,NA,NA,NA,NA,1.623333,0.07783333,0.053,0.01766667
Haiti,Haiti,Haiti,Globals,Haiti,H2/18,88,12,17,0.787244633,1367.718866,849.3962439,16376.43675,NA,NA,NA,1.093596482,20833.59306,1736.132755,6,0.540865189,12.25986842,0.552909545,3.494835031,0.153241863,NA,NA,NA,NA,10192.75493,849.3962442,5.389768263,0.449147355,0.306900976,0.025575081,3.01097E-05,NA,NA,NA,0.000528784,3.01097179038334e-05,1.606674237,NA,NA,NA,NA,1.436667,0.10033333,0.07133333,0.019633333
Haiti,Haiti,Haiti,Globals,Haiti,H3/18,88,12,14,0.833259044,2309.693041,1820.931907,27157.26009,NA,NA,NA,2.097229596,40624.41304,3385.367753,7,0.246913579,14.82529118,2.982778653,3.411220517,0.167712714,NA,NA,NA,NA,21851.18288,1820.931907,9.865394526,0.822116211,0.974441398,0.08120345,4.45944E-05,NA,NA,NA,0.000451481,4.45944461377829e-05,1.242827916,NA,NA,NA,NA,1.73,0.1156,0.03333333,0.021133333
Haiti,Haiti,Haiti,Globals,Haiti,H4/18,88,12,15,0.721978096,1222.146048,916.8842444,15869.06056,NA,NA,NA,1.374601339,22980.73892,1915.061577,1,0,10.60465116,0.478597078,3.424014143,0.136577204,NA,NA,NA,NA,11002.61093,916.8842442,5.191376059,0.432614672,0.552987408,0.046082284,5.02597E-05,NA,NA,NA,0.000471831,5.02596530439181e-05,1.442299529,NA,NA,NA,NA,1.38,0.1091,0.04066667,0.021433333
Haiti,Haiti,Haiti,Globals,Haiti,H5/18,88,12,10,0.803717353,438.2925277,250.6847092,4480.311547,NA,NA,NA,0.704057017,6702.435447,558.5362873,3,0.586419753,12.40506329,-0.551269748,3.425190798,0.43102067,NA,NA,NA,NA,3008.216511,250.6847093,1.492620847,0.124385071,0.075438147,0.006286512,2.50774E-05,NA,NA,NA,0.000496181,2.50773662664831e-05,1.489358073,NA,NA,NA,NA,1.595,0.15285,0.12433333,0.018733333
Haiti,Haiti,Haiti,Globals,Haiti,H6/18,88,12,12,0.7826,993.8233501,587.5679201,11110.41192,NA,NA,NA,1.090023665,13181.46401,1098.455334,8,0.524751137,12.035,3.104213082,3.464255069,0.31315,NA,NA,NA,NA,7050.815041,587.5679201,3.4102341,0.284186175,0.214159281,0.017846607,3.03737E-05,NA,NA,NA,0.000483665,3.03736914931817e-05,1.575762781,NA,NA,NA,NA,1.276667,0.08453333,0.03533333,0.0123
Haiti,Haiti,Haiti,Globals,Haiti,H8/18,88,12,7,0.74537037,178.0178052,56.7290871,2591.194545,NA,NA,NA,1.827021177,2886.814265,240.5678554,7,0.712442172,10.91666667,0.213154504,3.110606819,0.527777778,NA,NA,NA,NA,680.7490453,56.72908711,0.386388997,0.032199083,0.024341843,0.002028487,3.57574E-05,NA,NA,NA,0.000567594,3.57574391737214e-05,3.806387336,NA,NA,NA,NA,1.52,0.11826667,0.08966667,0.017633333
LH,LH,LH,Globals,Bahamas,LH1/18,88,12,12,0.809964475,672.9317486,366.4466906,8124.929165,NA,NA,NA,1.245667711,7816.56125,651.3801042,2,0.277777778,14.14569536,2.074459728,3.754598142,0.451734573,NA,NA,NA,NA,4397.360288,366.4466907,2.565221592,0.213768466,0.326655978,0.027221332,7.42846E-05,NA,NA,NA,0.000583355,7.42845608426588e-05,1.847683299,NA,NA,NA,NA,1.513333,0.0745,0.03033333,0.009166667
LH,LH,LH,Globals,Bahamas,LH2/18,88,12,10,0.725062756,252.6079449,1065.13273,3019.234642,NA,NA,NA,1.454833685,7940.441746,661.7034788,3,0.228386251,19.89655172,0.468334343,4.15048882,0.602721628,NA,NA,NA,NA,12781.59276,1065.13273,5.460178993,0.455014916,0.314163608,0.026180301,2.45794E-05,NA,NA,NA,0.000427191,2.4579378654886e-05,0.236217403,NA,NA,NA,NA,1.63,0.06186667,0.027,0.01035
LH,LH,LH,Globals,Bahamas,LH3/18,88,12,8,0.516266667,243.6580564,832.388494,2515.241293,NA,NA,NA,0.707426708,7363.949815,613.6624846,1,0,22.04,0.551892679,4.148229596,0.453333333,NA,NA,NA,NA,9988.661928,832.388494,4.583559498,0.381963292,0.240874866,0.020072906,2.41148E-05,NA,NA,NA,0.000458876,2.41148281555713e-05,0.251809633,NA,NA,NA,NA,1.513333,0.06346667,0.02333333,0.0099
MOW,MOW,MOW,Globals,Bahamas,MOW1/18,88,12,10,0.339410431,405.4053859,423.1088,4860.684867,NA,NA,NA,0.937695157,7622.480005,635.2066671,2,0.290657439,16.46666667,1.244157722,3.565572201,0.161088435,NA,NA,NA,NA,5077.3056,423.1088,2.240917783,0.186743149,0.164194327,0.013682861,3.23389E-05,NA,NA,NA,0.00044136,3.23388703141628e-05,0.957335494,NA,NA,NA,NA,1.61,0.08143333,0.04,0.0112
MOW,MOW,MOW,Globals,Bahamas,MOW2/18,88,12,6,0.159976387,191.9892005,164.5330132,2312.595302,NA,NA,NA,0.896627244,4292.434069,357.7028391,2,0.375,17.35064935,1.519100913,3.606061025,0.11241356,NA,NA,NA,NA,1974.396159,164.5330133,1.719985213,0.143332101,0.118068455,0.009839038,5.97998E-05,NA,NA,NA,0.000871145,5.9799779558161e-05,1.171292444,NA,NA,NA,NA,1.846667,0.08073333,0.04433333,0.010433333
MOW,MOW,MOW,Globals,Bahamas,MOW3/18,88,12,8,0.833333333,74.859506,177.5530311,865.2956558,NA,NA,NA,0.833718169,910.5675262,75.88062718,2,0.3046875,16.5,0.260293923,2.807357711,0.75,NA,NA,NA,NA,2130.636373,177.5530311,0.588913163,0.049076097,0.043903288,0.003658607,2.06057E-05,NA,NA,NA,0.000276402,2.06057160966641e-05,0.406120757,NA,NA,NA,NA,1.49,0.07706667,0.06333333,0.0113
